State,Unemployment Rate,Rank
SD,1.9,1
VT,2.3,2
ND,2.4,3
NH,2.5,4
NE,2.7,5
AL,2.9,6
HI,2.9,6
ME,2.9,6
MS,2.9,6
VA,2.9,6
WI,2.9,6
CT,3.0,12
IA,3.0,12
MD,3.0,12
WY,3.2,15
AR,3.3,16
FL,3.3,16
MT,3.3,16
OK,3.3,16
TN,3.3,16
KS,3.4,21
MN,3.4,21
PA,3.4,21
UT,3.5,24
AZ,3.6,25
GA,3.6,25
ID,3.7,27
NC,3.7,27
MO,3.8,29
MA,3.9,30
DE,4.0,31
OR,4.0,31
CO,4.1,33
LA,4.1,33
TX,4.1,33
WV,4.2,36
NM,4.3,37
OH,4.3,37
IN,4.4,39
NY,4.4,39
AK,4.6,41
RI,4.6,41
MI,4.7,43
NJ,4.7,43
SC,4.7,43
WA,4.7,43
KY,5.0,47
IL,5.3,48
CA,5.4,49
DC,5.7,50
NV,5.7,50
